"","legend","hour","Trips"
"627","Training",2021-10-17 02:00:00,1125
"628","Training",2021-10-17 03:00:00,758
"629","Training",2021-10-17 04:00:00,479
"630","Training",2021-10-17 05:00:00,273
"631","Training",2021-10-17 06:00:00,680
"632","Training",2021-10-17 07:00:00,1173
"633","Training",2021-10-17 08:00:00,2363
"634","Training",2021-10-17 09:00:00,3835
"635","Training",2021-10-17 10:00:00,5542
"636","Training",2021-10-17 11:00:00,6783
"637","Training",2021-10-17 12:00:00,7743
"638","Training",2021-10-17 13:00:00,7906
"639","Training",2021-10-17 14:00:00,7806
"640","Training",2021-10-17 15:00:00,7775
"641","Training",2021-10-17 16:00:00,7838
"642","Training",2021-10-17 17:00:00,7030
"643","Training",2021-10-17 18:00:00,5471
"644","Training",2021-10-17 19:00:00,3999
"645","Training",2021-10-17 20:00:00,3000
"646","Training",2021-10-17 21:00:00,2347
"647","Training",2021-10-17 22:00:00,1779
"648","Training",2021-10-17 23:00:00,1256
"649","Training",2021-10-18 00:00:00,742
"650","Training",2021-10-18 01:00:00,392
"651","Training",2021-10-18 02:00:00,191
"652","Training",2021-10-18 03:00:00,132
"653","Training",2021-10-18 04:00:00,179
"654","Training",2021-10-18 05:00:00,757
"655","Training",2021-10-18 06:00:00,2241
"656","Training",2021-10-18 07:00:00,5127
"657","Training",2021-10-18 08:00:00,7149
"658","Training",2021-10-18 09:00:00,4822
"659","Training",2021-10-18 10:00:00,3563
"660","Training",2021-10-18 11:00:00,3627
"661","Training",2021-10-18 12:00:00,4218
"662","Training",2021-10-18 13:00:00,4446
"663","Training",2021-10-18 14:00:00,4816
"664","Training",2021-10-18 15:00:00,5565
"665","Training",2021-10-18 16:00:00,6597
"666","Training",2021-10-18 17:00:00,9002
"667","Training",2021-10-18 18:00:00,8369
"668","Training",2021-10-18 19:00:00,5559
"669","Training",2021-10-18 20:00:00,3757
"670","Training",2021-10-18 21:00:00,2579
"671","Training",2021-10-18 22:00:00,1841
"672","Training",2021-10-18 23:00:00,1231
"673","Training",2021-10-19 00:00:00,658
"674","Training",2021-10-19 01:00:00,316
"675","Training",2021-10-19 02:00:00,198
"676","Training",2021-10-19 03:00:00,151
"677","Training",2021-10-19 04:00:00,187
"678","Training",2021-10-19 05:00:00,837
"679","Training",2021-10-19 06:00:00,2538
"680","Training",2021-10-19 07:00:00,5723
"681","Training",2021-10-19 08:00:00,7770
"682","Training",2021-10-19 09:00:00,5355
"683","Training",2021-10-19 10:00:00,3736
"684","Training",2021-10-19 11:00:00,3929
"685","Training",2021-10-19 12:00:00,4450
"686","Training",2021-10-19 13:00:00,4750
"687","Training",2021-10-19 14:00:00,5415
"688","Training",2021-10-19 15:00:00,6273
"689","Training",2021-10-19 16:00:00,7457
"690","Training",2021-10-19 17:00:00,10627
"691","Training",2021-10-19 18:00:00,10214
"692","Training",2021-10-19 19:00:00,6705
"693","Training",2021-10-19 20:00:00,4462
"694","Training",2021-10-19 21:00:00,3473
"695","Training",2021-10-19 22:00:00,2759
"696","Training",2021-10-19 23:00:00,1720
"697","Training",2021-10-20 00:00:00,998
"698","Training",2021-10-20 01:00:00,515
"699","Training",2021-10-20 02:00:00,314
"700","Training",2021-10-20 03:00:00,175
"701","Training",2021-10-20 04:00:00,227
"702","Training",2021-10-20 05:00:00,865
"703","Training",2021-10-20 06:00:00,2702
"704","Training",2021-10-20 07:00:00,5826
"705","Training",2021-10-20 08:00:00,8340
"706","Training",2021-10-20 09:00:00,5825
"707","Training",2021-10-20 10:00:00,4265
"708","Training",2021-10-20 11:00:00,4400
"709","Training",2021-10-20 12:00:00,5164
"710","Training",2021-10-20 13:00:00,5534
"711","Training",2021-10-20 14:00:00,6131
"712","Training",2021-10-20 15:00:00,6822
"713","Training",2021-10-20 16:00:00,8084
"714","Training",2021-10-20 17:00:00,11658
"715","Training",2021-10-20 18:00:00,11198
"716","Training",2021-10-20 19:00:00,7392
"717","Training",2021-10-20 20:00:00,5142
"718","Training",2021-10-20 21:00:00,3901
"719","Training",2021-10-20 22:00:00,3466
"720","Training",2021-10-20 23:00:00,2539
"721","Training",2021-10-21 00:00:00,1385
"722","Training",2021-10-21 01:00:00,630
"723","Training",2021-10-21 02:00:00,322
"724","Training",2021-10-21 03:00:00,193
"725","Training",2021-10-21 04:00:00,243
"726","Training",2021-10-21 05:00:00,813
"727","Training",2021-10-21 06:00:00,2742
"728","Training",2021-10-21 07:00:00,5960
"729","Training",2021-10-21 08:00:00,8473
"730","Training",2021-10-21 09:00:00,6083
"731","Training",2021-10-21 10:00:00,4619
"732","Training",2021-10-21 11:00:00,4603
"733","Training",2021-10-21 12:00:00,5291
"734","Training",2021-10-21 13:00:00,5401
"735","Training",2021-10-21 14:00:00,6240
"736","Training",2021-10-21 15:00:00,7052
"737","Training",2021-10-21 16:00:00,8036
"738","Training",2021-10-21 17:00:00,11406
"739","Training",2021-10-21 18:00:00,10886
"740","Training",2021-10-21 19:00:00,7370
"741","Training",2021-10-21 20:00:00,5227
"742","Training",2021-10-21 21:00:00,4078
"743","Training",2021-10-21 22:00:00,3465
"744","Training",2021-10-21 23:00:00,2535
